Day,Category,Format,Title,Hook,PexelsQuery,Description,Hashtags
1,Wealth,top10,Top 10 Most Expensive Yachts,Top 10 most expensive yachts on Earth.,luxury superyacht drone,Which one are you buying? 🛥️ Drop your favorite in the comments! 👇 Consider yourself... Skillificationed.,#luxury #yachts #billionaire #wealth #skillificationed
2,Skill,howto,How to Change a Flat Tire,How to change a flat tire in under 10 minutes.,car tire repair wheel,Never get stranded again! 🚗 Tag a friend who needs to learn this. 👇 Consider yourself... Skillificationed.,#lifeskills #carmaintenance #howto #driving #skillificationed
3,Nature,top10,Top 10 Deepest Places on Earth,"The top 10 deepest, darkest places on Earth.",deep dark ocean underwater,Does the deep ocean terrify you? 🌊 Let us know below! 👇 Consider yourself... Skillificationed.,#ocean #nature #deepsea #facts #skillificationed
4,Survival,howto,How to Survive a Rip Current,How to survive a rip current if you get pulled out.,ocean waves crashing beach,This trick could literally save your life. 🌊 Share this with someone who loves the beach! 👇 Consider yourself... Skillificationed.,#survival #ocean #safetytips #beach #skillificationed
5,Travel,top10,Top 10 Futuristic Cities,Top 10 cities that look like they are in 2050.,tokyo neon night cyberpunk,Which city looks the most like the future? 🏙️ Let us know in the comments! 👇 Consider yourself... Skillificationed.,#future #cyberpunk #cities #travel #skillificationed
6,Skill,howto,How to Jumpstart a Dead Car,The foolproof way to jumpstart a dead car battery.,car engine jumper cables,The easiest way to jumpstart a car. ⚡ Save this for an emergency! 👇 Consider yourself... Skillificationed.,#cartips #mechanic #lifeskills #howto #skillificationed
7,Mystery,top10,Top 10 Most Guarded Vaults,Top 10 most heavily guarded vaults in the world.,bank vault steel door,What do you think they are actually hiding inside? 🔐 Drop your theories below! 👇 Consider yourself... Skillificationed.,#mystery #vault #history #interestingfacts #skillificationed
8,Survival,howto,How to Put Out a Grease Fire,Never use water! How to put out a kitchen grease fire.,kitchen fire flames pan,Never throw water on a kitchen fire! 🔥 Share this to keep your friends safe. 👇 Consider yourself... Skillificationed.,#kitchenhacks #firesafety #survivalhacks #tips #skillificationed
9,Wildlife,top10,Top 10 Deadliest Animals,The top 10 deadliest animals—and the winner is tiny.,venomous snake macro,Which of these animals shocked you the most? 🐍 Let us know below! 👇 Consider yourself... Skillificationed.,#wildlife #animals #naturefacts #scary #skillificationed
10,Skill,howto,How to Tie the Perfect Tie,How to tie a perfect Windsor knot in 30 seconds.,man tying necktie suit,Look sharp in under 30 seconds. 👔 Who is trying this tomorrow? 👇 Consider yourself... Skillificationed.,#mensfashion #stylehacks #howto #suitup #skillificationed
11,Auto,top10,Top 10 Most Expensive Cars,Top 10 most expensive hypercars ever built.,sports car driving fast,Which of these belongs in your dream garage? 🏎️ Drop your pick in the comments! 👇 Consider yourself... Skillificationed.,#supercars #bugatti #luxurycars #auto #skillificationed
12,Survival,howto,How to Escape a Sinking Car,The exact steps to escape a sinking car.,car underwater sinking,"A terrifying scenario, but you need to know this. 🚗💧 Save this video! 👇 Consider yourself... Skillificationed.",#survivaltips #safety #lifesaver #skills #skillificationed
13,Engineering,top10,Top 10 Heaviest Objects Moved,The top 10 heaviest objects moved by humans.,massive crane lifting heavy,Human engineering is absolutely insane. 🏗️ Which one blew your mind? 👇 Consider yourself... Skillificationed.,#engineering #heavyequipment #megaprojects #skillificationed
